,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.904,0.813,4.0,-7.105,0.0,0.121,0.0311,0.00697,0.0471,0.81,125.461
1,0.774,0.838,5.0,-3.914,0.0,0.114,0.0249,0.025,0.242,0.924,143.04
2,0.664,0.758,2.0,-6.583,0.0,0.21,0.00238,0.0,0.0598,0.701,99.259
3,0.891,0.714,4.0,-6.055,0.0,0.14,0.202,0.000234,0.0521,0.818,100.972
4,0.853,0.606,0.0,-4.596,1.0,0.0713,0.0561,0.0,0.313,0.654,94.759
5,0.881,0.788,2.0,-4.669,1.0,0.168,0.0212,0.0,0.0377,0.592,104.997
6,0.662,0.507,5.0,-8.238,1.0,0.118,0.257,0.0,0.0465,0.676,86.412
7,0.57,0.821,2.0,-4.38,1.0,0.267,0.178,0.0,0.289,0.408,210.857
8,0.713,0.678,5.0,-3.525,0.0,0.102,0.273,0.0,0.149,0.734,138.009
9,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526
10,0.808,0.97,10.0,-6.098,0.0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328
11,0.71,0.553,4.0,-4.722,0.0,0.0292,0.00206,5.48e-05,0.0469,0.731,99.005
12,0.66,0.666,9.0,-4.342,1.0,0.0472,0.0759,0.0,0.0268,0.933,89.975
13,0.687,0.71,9.0,-5.84,1.0,0.0522,0.0283,3.71e-06,0.0689,0.886,79.235
14,0.803,0.454,8.0,-4.802,0.0,0.0294,0.352,0.0,0.0655,0.739,99.99
15,0.775,0.731,8.0,-5.446,1.0,0.134,0.189,0.0,0.129,0.821,131.105
16,0.487,0.9,0.0,-4.417,1.0,0.0482,6.79e-05,0.0,0.358,0.484,149.937
17,0.846,0.482,1.0,-6.721,0.0,0.129,0.0246,0.0,0.393,0.212,100.969
18,0.705,0.796,7.0,-6.845,1.0,0.267,0.0708,0.0,0.388,0.864,166.042
19,0.771,0.685,1.0,-4.639,1.0,0.0567,0.00543,0.00157,0.0537,0.683,88.997
20,0.717,0.733,4.0,-4.985,1.0,0.0427,0.0398,0.0,0.136,0.713,119.996
21,0.835,0.687,5.0,-3.18,1.0,0.184,0.101,0.0,0.132,0.828,94.059
22,0.728,0.801,4.0,-3.636,1.0,0.0752,0.00349,0.000195,0.0907,0.813,119.989
23,0.571,0.89,9.0,-1.6,1.0,0.0395,0.00509,0.0,0.0769,0.751,110.958
24,0.536,0.612,4.0,-5.847,1.0,0.272,0.119,0.0,0.209,0.57,86.768
25,0.659,0.869,11.0,-5.858,1.0,0.046,0.00357,0.0,0.302,0.811,106.966
26,0.619,0.87,2.0,-4.956,1.0,0.501,0.41,1.37e-06,0.0571,0.94,188.772
27,0.624,0.976,8.0,-5.355,1.0,0.0494,0.004,1.18e-05,0.376,0.514,142.008
28,0.615,0.711,11.0,-5.507,1.0,0.0779,0.0444,0.0,0.145,0.711,144.036
29,0.673,0.683,1.0,-5.693,1.0,0.115,0.522,0.0,0.235,0.713,171.86
30,0.652,0.698,10.0,-4.667,0.0,0.042,0.00112,0.000115,0.0886,0.47,96.021
31,0.423,0.94,1.0,-4.012,0.0,0.0635,0.00166,0.0,0.178,0.505,149.934
32,0.706,0.751,9.0,-6.323,1.0,0.0708,0.173,0.0,0.168,0.195,91.031
33,0.669,0.822,11.0,-4.288,1.0,0.043,0.0339,0.000142,0.231,0.43,120.011
34,0.829,0.627,1.0,-3.928,1.0,0.0759,0.00663,0.0,0.0939,0.72,120.048
35,0.709,0.745,4.0,-6.437,0.0,0.0738,0.0225,5.2e-05,0.154,0.576,126.027
36,0.58,0.75,4.0,-4.421,1.0,0.194,0.159,0.0,0.274,0.728,86.938
37,0.447,0.848,2.0,-6.175,1.0,0.222,0.033,7.45e-05,0.722,0.485,172.247
38,0.356,0.924,1.0,-3.74,1.0,0.0808,0.00101,0.0,0.0953,0.232,148.017
39,0.442,0.893,0.0,-4.878,1.0,0.0505,0.00844,0.0,0.529,0.712,148.119
40,0.938,0.735,7.0,-6.382,1.0,0.0434,0.00952,0.0,0.0998,0.55,103.7
41,0.719,0.839,5.0,-5.235,1.0,0.0257,0.00241,0.0,0.228,0.636,129.97
42,0.465,0.954,10.0,-4.251,1.0,0.044,0.000346,5.38e-06,0.573,0.458,143.85
43,0.73,0.848,5.0,-5.262,0.0,0.101,0.0494,0.0,0.133,0.559,65.025
44,0.559,0.845,11.0,-3.871,1.0,0.0379,0.222,0.0,0.164,0.304,94.915
45,0.725,0.732,9.0,-6.594,1.0,0.156,0.0501,1.8e-06,0.104,0.515,93.029
46,0.695,0.903,9.0,-5.092,0.0,0.162,0.0137,4.32e-05,0.126,0.811,138.985
47,0.747,0.878,8.0,-3.533,1.0,0.0282,0.343,0.0,0.0872,0.557,106.004
48,0.485,0.823,1.0,-2.816,1.0,0.0362,0.00981,0.0,0.116,0.555,91.005
49,0.414,0.936,2.0,-2.407,1.0,0.0758,0.00136,0.0,0.369,0.74,170.229
50,0.35,0.909,2.0,-4.204,1.0,0.0774,0.0024,0.0,0.163,0.314,166.866
51,0.815,0.438,0.0,-14.522,0.0,0.0346,0.216,0.000466,0.0787,0.552,108.965
52,0.343,0.975,1.0,-2.502,0.0,0.135,3.23e-05,0.991,0.0515,0.133,119.883
53,0.414,0.959,7.0,-4.299,0.0,0.0378,2.31e-05,0.933,0.368,0.589,145.911
54,0.522,0.205,2.0,-7.986,1.0,0.0376,0.0534,0.235,0.0985,0.353,103.868
55,0.0849,0.956,2.0,-4.196,1.0,0.0805,5.24e-05,0.953,0.397,0.309,185.397
56,0.283,0.925,3.0,-4.7,1.0,0.111,0.000748,0.933,0.166,0.368,99.45
57,0.492,0.97,4.0,-5.677,0.0,0.0554,9.65e-06,0.891,0.162,0.556,120.005
